@0	0000000000101011
@1	0000000011100010
@2	0000000011010110
@3	0000000011111111
@4	0000000011111111
@5	0000000001011111
@6	0000000001010101
@7	0000000001101101
@8	0000000111001011
@9	0000000110111010
@a	0000001111101110
@b	0000001110110110
@c	0000001011011110
@d	0000001010110111
@e	0000000110101111
@f	0000000100101111
@10	0000001101101100
@11	0000001101011001
@12	0001111011011101
@13	0001011100101010
@14	0010111011111011
@15	0011111111010100
@16	0011101001011111
@17	0011100100011011
@18	0001101010011010
@19	0010001011010101
@1a	0000010111110111
@1b	0001111111111100
@1c	0001111001110110
@1d	0001001001001010
@1e	0011011001011000
@1f	0011011011011101
