@0	0000000000010000
@1	0000000000010000
@2	1111111110110110
@3	1110111011011101
@4	0101110110111011
@5	1111111111001011
@6	1111111111111111
@7	1111111101000110
@8	1111110101111111
@9	1111110000001010
@a	1100101111011110
@b	0111111111110101
@c	0111110111111110
@d	1111111110110110
@e	1101100001001011
@f	1101101101101110
@10	1101100001110001
@11	0101100011000110
@12	0000000000001100
@13	0000000000001100
@14	0000111111110110
@15	0000111011101101
@16	0000010111111011
@17	0000111111001011
@18	0000111111111111
@19	0000111111000110
@1a	0000011111011110
@1b	0000111111111110
@1c	0000110110001011
@1d	0000110110111110
@1e	0000110001110001
@1f	0000010110001100
@20	0000000000001010
@21	0000000000001010
@22	0000001111111110
@23	0000001110111101
@24	0000000111111011
@25	0000001111000110
@26	0000001111011110
@27	0000001111111110
@28	0000001101101011
@29	0000001101111110
@2a	0000001100011100
@2b	0000000101100000
@2c 0000000011111111
