@0	0000000000001010
@1	0000000000001010
@2	0000000111011010
@3	0000001110001101
@4	0000000110101011
@5	0000001111011110
@6	0000001111111111
@7	0000001111111110
@8	0000000001101111
@9	0000001101010110
@a	0000001100100100
@b	0000000101111100
@c	0000000000001100
@d	0000000000001100
@e	0000111100111110
@f	0000111001101101
@10	0000010110111011
@11	0000111111001011
@12	0000111110111111
@13	0000110011001110
@14	0000001011011110
@15	0000111010111110
@16	0000110110111011
@17	0000110110100110
@18	0000110001110111
@19	0000110110001111
@1a	0000000000010000
@1b	0000000000010000
@1c	1110100110110110
@1d	1110111011010001
@1e	0101110111111111
@1f	1111111000001011
@20	1110011111111111
@21	1111101001000110
@22	1110000101111111
@23	1100100000001010
@24	0000101111011110
@25	0011111111110001
@26	0111110111111000
@27	1111111110110110
@28	1101100001000011
@29	1101101101100010
@2a	1101100001111111
@2b	1111111111111111
@2c 0000000011111111

