@0  0010111011001100
@1  0011100110110001
@2  0001010100101011
@3  0011111110010011
@4  0011111001011110
@5  0011111101000100
@6  0011010101111111
@7  0001111100011010
@8  0001101001010111
@9  0011110111001101
@a  0010010100110110
@b  0011110111111111
@c  0001001000001010
@d  0001001001100011
@e	0000001011101100
@f	0000001110100001
@10	0000000101011011
@11	0000001111110011
@12	0000000111101111
@13	0000001111011100
@14	0000001001010100
@15	0000001111011111
@16	0000000100111010
@17	0000000101100011
@18 0000000000111100
@19	0000000010100001
@1a	0000000001101110
@1b	0000000011011100
@1c	0000000010010100
@1d	0000000011101111
@1e	0000000001001010
@1f	0000000001011000
